"Cod. Tabla";"Cod.Producto";"Grupo";"Precio Venta";
"500";"004344";"0150";"47761,12";
"500";"004345";"0150";"14377,946";
"500";"004346";"0150";"47761,12";
"500";"004347";"0150";"14377,946";
"500";"004348";"0150";"47761,12";
"500";"004349";"0150";"14377,946";
"500";"004350";"0150";"47761,12";
"500";"004351";"0150";"14377,946";
"500";"004352";"0150";"47761,12";
"500";"004353";"0130";"450086,0485";
"500";"004354";"0130";"194337,3145";
"500";"004355";"0130";"91783,461";
"500";"004356";"0153";"145097,2575";
"500";"004357";"0153";"677482,729";
"500";"004358";"0153";"200135,76";
"500";"004359";"0153";"835472,785";
"500";"004360";"0153";"244115,2915";
"500";"004362";"0152";"13469,973";
"500";"004363";"0152";"13469,95";
"500";"004364";"0152";"13469,95";
"500";"004365";"0152";"13469,973";
"500";"004366";"0152";"50734,78";
"500";"004367";"0152";"202817,475";
"500";"004368";"0152";"13469,973";
"500";"004369";"0152";"50734,78";
"500";"004370";"0152";"202817,475";
"500";"004371";"0152";"13469,973";
"500";"004372";"0152";"50734,78";
"500";"004373";"0163";"12997,95";
"500";"004374";"0163";"12998,013";
"500";"004375";"0163";"12998,034";
"500";"004376";"0163";"12997,95";
"500";"004377";"0163";"12997,95";
"500";"004378";"0163";"12997,95";
"500";"004379";"0163";"12997,95";
"500";"004380";"0163";"12998,013";
"500";"004381";"0163";"12997,95";
"500";"004382";"0163";"12997,95";
"500";"004383";"0163";"18454,002";
"500";"004384";"0902";"6240,077";
"500";"004385";"0163";"31040,583";
"500";"004386";"0163";"38699,073";
"500";"004387";"0163";"2488,92";
"500";"004388";"0163";"9794,148";
"500";"004389";"0163";"2937,123";
"500";"004390";"0163";"11150,349";
"500";"004391";"0102";"7227,654";
"500";"004392";"0130";"118150,0075";
"500";"004396";"0191";"14909,9575";
"500";"004397";"0191";"14909,9575";
"500";"004398";"0191";"89544,6355";
"500";"004399";"0191";"9939,9785";
"500";"004400";"0902";"6981,0495";
"500";"004401";"0902";"6981,0495";
"500";"004402";"0902";"6981,0495";
"500";"004403";"0902";"6981,0495";
"500";"004404";"0902";"6981,0495";
"500";"004405";"0902";"6981,0495";
"500";"004406";"0902";"6981,0495";
"500";"004407";"0902";"6981,0495";
"500";"004408";"0146";"19569,291";
"500";"004421";"0902";"9082,1355";
"500";"004422";"0902";"9082,1355";
"500";"004423";"0902";"9082,1355";
"500";"004425";"0902";"9082,1355";
"500";"004426";"0902";"9082,1355";
"500";"004428";"0902";"9082,1355";
"500";"004429";"0902";"9082,1355";
"500";"004430";"0902";"12109,5345";
"500";"004431";"0902";"9082,1355";
"500";"004432";"0902";"9082,1355";
