"Codigo";"Descripcion";"Capacidad";"Grupo";"TS Estandar";
"001596";"CINTA DE PAPEL RAPIFIX OBRA PREMIUM AZUL (550) 48MM";"001000";"0181";"503";
"001597";"ALTO RENDIMIENTO ALBA X 3";"003000";"0902";"503";
"001598";"PANO DE FIBRA ABRASIVA DOBLE A  ABRATEX 150X230 #100 ESTUCHE X 1 (MARRON)";"001000";"0102";"503";
"001599";"PANO DE FIBRA ABRASIVA DOBLE A  ABRATEX 150X230 #220 ESTUCHE X 2 (MARRON)";"001000";"0102";"503";
"001600";"PANO DE FIBRA ABRASIVA DOBLE A  ABRATEX 150X230 #320 ESTUCHE X 2 (VERDE)";"001000";"0102";"503";
"001601";"PANO DE FIBRA ABRASIVA DOBLE A  ABRATEX 150X230 #400 ESTUCHE X 2 (BORDO)";"001000";"0102";"503";
"001602";"PANO DE FIBRA ABRASIVA DOBLE A  ABRATEX 150X230 #600 ESTUCHE X 2 (GRIS)";"001000";"0102";"503";
"001603";"TAPAGOTERAS MAGIPLAST X 1";"001000";"0129";"503";
"001604";"TAPAGOTERAS MAGIPLAST X 5";"005000";"0129";"503";
"001605";"AEROSOL RUST-OLEUM UC SATINADO GRANITO X 0,340(358903)";"000340";"0146";"503";
"001606";"REP.P/MUEBLES VENIER CLARO X 0,125";"000130";"0147";"503";
"001607";"MASILLA POLIESTER ZEOCAR UNICA X 2,25 (61)";"002250";"0157";"503";
"001608";"AEROSOL RUST-OLEUM UC IMPRIMANTE MATE GRIS X 0,340(262159)";"000340";"0146";"503";
"001609";"AEROSOL RUST-OLEUM UC IMPRIMANTE MATE BLANCO X 0,340(262193)";"000340";"0902";"503";
"001610";"D839.04 PRIMER 2K PRIMA X 0,750";"000750";"0134";"503";
"001611";"D839.01 PRIMER 2K PRIMA X 3";"003000";"0134";"503";
"001612";"IMPERMEABILIZANTE PARA FRENTES Y MUROS TERSITECH SEMIMATE BLANCO X  1";"001001";"0152";"503";
"001613";"IMPERMEABILIZANTE PARA FRENTES Y MUROS TERSITECH SEMIMATE BLANCO X  4";"004000";"0152";"503";
"001614";"IMPERMEABILIZANTE PARA FRENTES Y MUROS TERSITECH SEMIMATE BLANCO X 10";"010000";"0152";"503";
"001615";"IMPERMEABILIZANTE PARA FRENTES Y MUROS TERSITECH SEMIMATE BLANCO X 20";"020000";"0152";"503";
"001616";"AEROSOL TERSUAVE ESMALTE SINTETICO METALIZADO BRILLANTE BRONCE X 0,440";"000440";"0152";"503";
"001617";"AEROSOL TERSUAVE ESMALTE SINTETICO METALIZADO BRILLANTE PLATA X 0,440";"000440";"0152";"503";
"001618";"AEROSOL TERSUAVE ESMALTE SINTETICO METALIZADO BRILLANTE COBRE X 0,440";"000440";"0152";"503";
"001619";"AEROSOL TERSUAVE ESMALTE SINTETICO METALIZADO BRILLANTE ORO X 0,440";"000440";"0152";"503";
"001620";"AEROSOL RUST-OLEUM UC BRILLANTE ROSA CLARO X 0,340(262191)";"000340";"0146";"503";
"001621";"AEROSOL RUST-OLEUM UC BRILLANTE GRIS INVIERNO X 0,340(262175)";"000340";"0146";"503";
"001622";"AEROSOL RUST-OLEUM UC BRILLANTE UVA X 0,340(262172)";"000340";"0146";"503";
"001623";"PLACA DE YESO PLACO RH (1,20MX2,4MX12,5MM)";"001000";"0183";"503";
"001624";"LATEX INTERIOR/EXTERIOR ALBA HOGAR BLANCO X  1";"001001";"0107";"503";
"001625";"LATEX INTERIOR/EXTERIOR ALBA HOGAR BLANCO X  4";"004000";"0107";"503";
"001626";"LATEX INTERIOR/EXTERIOR ALBA HOGAR BLANCO X 10";"010000";"0107";"503";
"001627";"LATEX INTERIOR/EXTERIOR ALBA HOGAR BLANCO X 20";"020000";"0107";"503";
"001628";"RESTAURADOR LUSTRELAC MEDIO X 0,250";"000250";"0138";"503";
"001629";"RESTAURADOR LUSTRELAC OSCURO X 0,250";"000250";"0138";"503";
"001630";"ADHESIVO DE MONTAJE EL PULPITO X 0,050";"000050";"0140";"503";
"001631";"FONDO PARA MADERA PLAVICON BLANCO X  0,500";"000500";"0139";"503";
"001632";"FONDO PARA MADERA PLAVICON BLANCO X  1";"001001";"0139";"503";
"001633";"ADHESIVO DE MONTAJE EL PULPITO X 0,120";"000121";"0140";"503";
"001634";"P425-992/E1 SHINING COARSE ALUMINIUM X 1";"001001";"0131";"503";
"001635";"AEROSOL RUST-OLEUM SP FLUORESCENTE ROJO/NARANJA X 0,312(2721281)";"000312";"0146";"503";
"001636";"FONDO PARA MADERA PLAVICON BLANCO X  4";"004000";"0139";"503";
"001637";"FONDO PARA MADERA PLAVICON BLANCO X 20";"020000";"0139";"503";
"001638";"MP03.04 PASTA DE PULIR BASE AGUA X 1.000";"001001";"0132";"503";
"001639";"P850-1492 DISOLV MEDIO X 4";"004000";"0902";"503";
"001640";"P425-956 HS SUPER BLUE X 1";"001001";"0131";"503";
"001641";"P426-HE02/E1 ULTRA FINE WHITE X 1";"001001";"0131";"503";
"001642";"P425-941 H S STRONG RED X 1";"001001";"0131";"503";
"001643";"AEROSOL RUST-OLEUM SP FLUORESCENTE VERDE X 0,312(2721301)";"000310";"0146";"503";
"001644";"ENVASE DE HOJALATA VACIO X 0,500";"001000";"0122";"503";
"001645";"ENVASE DE HOJALATA VACIO X 1";"001000";"0122";"503";
"001646";"ENVASE DE HOJALATA VACIO X 4";"001000";"0122";"503";
"001647";"P192-475/E1 CLEARS BICAPA COLORES SOLIDOS X 1";"001001";"0131";"503";
"001648";"P192-5600/E2.5 CLEARS BICAPA PERLADOS/METALIZADOS X 2.500";"002500";"0131";"503";
"001649";"P192-528 CLEARS BICAPA ALUMINIOS X 2,500";"002500";"0131";"503";
"001650";"P565-554 MATIZANTE X 1";"001001";"0131";"503";
"001651";"P420-902 R/T PALE WHITE X 1";"001001";"0131";"503";
"001652";"P420-904 TRANSPARENT BLACK X 1";"001001";"0131";"503";
"001653";"P420-905 YELLOW OXIDE X 2,5";"002500";"0131";"503";
"001654";"P420-907 RED OXIDE X 1";"001001";"0131";"503";
"001655";"P420-908 R/T RUSSET X 1";"001001";"0131";"503";
"001656";"P420-910 R/T DEEP BLUE X 1";"001001";"0131";"503";
"001657";"P420-918 R/T MEDIUM YELLOW X 1";"001001";"0131";"503";
"001658";"P420-920 VIOLET X 1";"001001";"0131";"503";
"001659";"P420-926 SUPER RED X 3,5 (DISCONTINUADO)";"003500";"0131";"503";
"001660";"P420-930 BLUE LAKE X 1";"001001";"0131";"503";
"001661";"P420-933 BLUE BLACK X 3,5";"003500";"0131";"503";
"001662";"P420-938 TONE CONTROLLER X 1";"001001";"0131";"503";
"001663";"P420-942 TRANSOXIDE RED X 1";"001001";"0131";"503";
"001664";"P420-952 FAST BLUE X 1";"001001";"0131";"503";
"001665";"P420-960 R/T BURGUNDY X 1";"001001";"0131";"503";
"001666";"P420-966 WINE RED X 1 (DISCONTINUADO)";"001001";"0131";"503";
"001667";"P420-974 CYAN BLUE X 1 (DISCONTINUADO)";"001001";"0131";"503";
"001668";"P420-975 BRONZE GREEN X 1";"001001";"0131";"503";
"001669";"P420-977 STRONG MAROON X 1 (DISCONTINUADO)";"001001";"0131";"503";
"001670";"P420-978 BROWN X 1";"001001";"0131";"503";
"001671";"P420-903 MEDIUM PALE YELLOW X 1";"001001";"0131";"503";
"001672";"P420-982-E1C TRANSOXIDE YELLOW X 1(DISCONTINUADO)";"001001";"0902";"503";
"001673";"P420-983 STRONG YELLOW X 1";"001001";"0131";"503";
"001674";"P425-900-E3 SUPER WHITE X 3,5";"003500";"0131";"503";
"001675";"P425-921 H S CLARET X 1";"001001";"0131";"503";
"001676";"P425-922 H S LAGOON BLUE X 1";"001001";"0131";"503";
"001677";"P426-HE05 ORANGE FLASH X 1";"001001";"0131";"503";
"001678";"P425-927 H S BRIGHT YELLOW X 1 (DISCONTINUADO)";"001001";"0131";"503";
"001679";"P425-928 H S SUN YELLOW X 1 (DISCONTIINUADO)";"001001";"0131";"503";
"001680";"P425-941 H S STRONG RED X 2,5 (DISCONTINUADO)";"002500";"0131";"503";
"001681";"P425-948/E1 H S BLACK X 1";"001001";"0131";"503";
"001682";"P425-950 H S JET BLACK X 1";"001001";"0131";"503";
"001683";"P425-954 H S BLUE GREEN X 1";"001001";"0131";"503";
"001684";"P425-957 H S FAST BLUE X 1";"001001";"0131";"503";
"001685";"P425-971 H S BRILLANT RED X 1";"001001";"0131";"503";
"001686";"P425-984/E1 H S BRIGHT ALUMINIUM X 1";"001001";"0131";"503";
"001687";"P425-985 ALUMINIUM FINE X 1";"001001";"0131";"503";
"001688";"P425-986 ALUMINIUM MEDIUM X 3,5";"003500";"0131";"503";
"001689";"P425-987 MEDIUM COARSE X 2,5";"002500";"0131";"503";
"001690";"P425-988 ALUMINIUM CAORSE X 1";"001001";"0131";"503";
"001691";"P425-989 ALUMINIUM VERY COARSE X 1";"001001";"0131";"503";
"001692";"P425-998 H S COARSE SILVER DOLLAR ALUMINIUM X 1";"001001";"0131";"503";
"001693";"P429-923 BRIGHT MAROON X 1";"001001";"0131";"503";
"001694";"P429-937 PALE YELOW X 1";"001001";"0131";"503";
"001695";"P429-976 H S RED VIOLET X 1";"001001";"0131";"503";
"001696";"P190-376-E2 B INCOLORA DE MEZCLA X 2,5";"002500";"0131";"503";
"001697";"AEROSOL RUST-OLEUM UC BRILLANTE MARFIL X 0,340(262169)";"000340";"0146";"503";
"001698";"AEROSOL RUST-OLEUM UC BRILLANTE VERDE CLARO X 0,340(262166)";"000340";"0146";"503";
"001699";"AEROSOL RUST-OLEUM UC BRILLANTE AZUL PROFUNDO X 0,340(262165)";"000340";"0146";"503";
"001700";"IMPERMEABILIZANTE PARA TECHOS PLAVICON SOBREMEMBRANA BLANCO X  4,600";"004601";"0139";"503";
"001701";"ENVASE DE HOJALATA VACIO X20";"001000";"0122";"503";
"001702";"C850-0900 SOLUCION DESENGRASANTE X 4 (DISCONTINUADO)";"004000";"0132";"503";
"001703";"P429-961 HS CLEAN MAGENTA X 1";"001001";"0131";"503";
"001704";"IMPERMEABILIZANTE PARA TECHOS PLAVICON SOBREMEMBRANA BLANCO X 10";"010001";"0139";"503";
"001705";"IMPERMEABILIZANTE PARA TECHOS PLAVICON SOBREMEMBRANA BLANCO X 20";"020001";"0139";"503";
"001706";"FORJA HAMMERITE GRIS X 0,225";"000225";"0902";"503";
"001707";"AEROSOL RUST-OLEUM UC BRILLANTE VERDE LIMA X 0,340(262162)";"000340";"0146";"503";
"001708";"AEROSOL RUST-OLEUM SP FLUORESCENTE NARANJA X 0,312(2721311)";"000310";"0902";"503";
"001709";"AEROSOL RUST-OLEUM SP FLUORESCENTE ROSA X 0,312(272132)";"000312";"0146";"503";
"001710";"AEROSOL RUST-OLEUM SP FLUORESCENTE AMARILLO X 0,312(2721331)";"000310";"0146";"503";
"001711";"CINTA DE PAPEL RAPIFIX OBRA (500) 12MM";"001000";"0181";"503";
"001712";"CINTA DE PAPEL RAPIFIX OBRA (500) 18MM";"001000";"0181";"503";
"001713";"CINTA DE PAPEL RAPIFIX OBRA (500) 24MM";"001000";"0181";"503";
"001714";"CINTA DE PAPEL RAPIFIX OBRA (500) 36MM";"001000";"0181";"503";
"001715";"CINTA DE PAPEL RAPIFIX OBRA (500) 48MM";"001000";"0181";"503";
"001716";"CINTA  AUTOMOTOR RAPIFIX (570) 12MM";"001000";"0181";"503";
"001717";"CINTA  AUTOMOTOR RAPIFIX (570) 15MM";"001000";"0181";"503";
"001718";"CINTA  AUTOMOTOR RAPIFIX (570) 18MM";"001000";"0181";"503";
"001719";"CINTA  AUTOMOTOR RAPIFIX (570) 24MM";"001000";"0181";"503";
"001720";"CINTA  AUTOMOTOR RAPIFIX (570) 36MM";"001000";"0181";"503";
"001721";"CINTA  AUTOMOTOR RAPIFIX (570) 48MM";"001000";"0181";"503";
"001722";"CINTA  AUTOMOTOR RAPIFIX PREMIUM VERDE (560) 18MM";"001000";"0181";"503";
"001723";"CINTA  AUTOMOTOR RAPIFIX PREMIUM VERDE (560) 48MM";"001000";"0181";"503";
"001724";"IMPERMEABILIZANTE PARA FRENTES Y MUROS DURALBA MATE BASE P X  8,700";"008700";"0108";"503";
"001725";"IMPERMEABILIZANTE PARA FRENTES Y MUROS DURALBA MATE BASE F X  8,700";"008700";"0108";"503";
"001726";"LATEX INTERIOR ALBA HOGAR BLANCO X  1";"001001";"0107";"503";
"001727";"LATEX INTERIOR ALBA HOGAR BLANCO X  4";"004000";"0107";"503";
"001728";"LATEX INTERIOR ALBA HOGAR BLANCO X 10";"010000";"0107";"503";
"001729";"LATEX INTERIOR ALBA HOGAR BLANCO X 20";"020000";"0107";"503";
"001730";"IMPERMEABILIZANTE PARA FRENTES Y MUROS DURALBA MATE BASE P X  3,600";"003600";"0108";"503";
"001731";"IMPERMEABILIZANTE PARA FRENTES Y MUROS DURALBA MATE BASE P X 17,400";"017400";"0108";"503";
"001732";"PLACA DE YESO PLACO RH (1,20MX2,6MX12,5MM)";"001000";"0183";"503";
"001733";"PLACA DE YESO PLACO RH (1,20MX2,4MX15MM)";"001000";"0183";"503";
"001734";"IMPERMEABILIZANTE PARA FRENTES Y MUROS DURALBA MATE BASE F X  3,600";"003600";"0108";"503";
"001735";"IMPERMEABILIZANTE PARA FRENTES Y MUROS DURALBA MATE BASE F X 17,400";"017400";"0108";"503";
"001736";"IMPERMEABILIZANTE PARA FRENTES Y MUROS DURALBA MATE BASE T X  3,600";"003600";"0108";"503";
"001737";"IMPERMEABILIZANTE PARA FRENTES Y MUROS DURALBA MATE BASE T X 17,400";"017400";"0108";"503";
"001738";"ADHESIVO DE MONTAJE EL PULPITO X 0,240";"000241";"0140";"503";
"001739";"ADHESIVO DE MONTAJE EL PULPITO X 0,400";"000400";"0140";"503";
"001740";"ESM SINT ULTRARRAP BCO X 20";"020000";"0902";"503";
"001741";"FONDO ANTIOXIDO ALBA INDUSTRIAL GRIS X 20";"020000";"0110";"503";
"001742";"FONDO SINTETICO ALBA ULTRARRAPIDO BLANCO X 20";"020000";"0902";"503";
"001743";"PLACA DE YESO PLACO RH (1,20MX2,6MX15MM)";"001000";"0183";"503";
"001744";"IMPERMEABILIZANTE PARA TECHOS DURALBA FIBRADO SATINADO TEJA X  4";"004000";"0902";"503";
"001745";"IMPERMEABILIZANTE PARA TECHOS DURALBA FIBRADO SATINADO TEJA X 10";"010000";"0902";"503";
"001746";"IMPERMEABILIZANTE PARA TECHOS DURALBA FIBRADO SATINADO TEJA X 20";"020000";"0902";"503";
"001747";"PROTECTOR PARA PISO PETRILAC CLINSY TRANSPARENTE X 1";"001001";"0138";"503";
"001748";"PROTECTOR PARA PISO PETRILAC CLINSY NEGRO X 1";"001001";"0138";"503";
"001749";"PROTECTOR PARA PISO PETRILAC CLINSY ROJO X 1";"001001";"0138";"503";
"001750";"REMOVEDOR PETRILAC AUTOBRILLO X 1";"001001";"0138";"503";
"001751";"FIJADOR PARA PARED TERSUAVE AL AGUA X  1";"001001";"0152";"503";
"001752";"FIJADOR PARA PARED TERSUAVE AL AGUA X  4";"004000";"0152";"503";
"001753";"FIJADOR PARA PARED TERSUAVE AL AGUA X 10";"010000";"0152";"503";
"001754";"FIJADOR PARA PARED TERSUAVE AL AGUA X 20";"020000";"0152";"503";
"001755";"PLACA DE YESO PLACO IMPACT (1,20MX2,4MX12,5MM)";"001000";"0183";"503";
"001756";"PLACA DE YESO PLACO IMPACT (1,20MX2,6MX12,5MM)";"001000";"0183";"503";
"001757";"LIJA ULTRA DOBLE A N  80";"001000";"0902";"503";
"001758";"LIJA ULTRA DOBLE A N 100";"001000";"0102";"503";
"001759";"LIJA ULTRA DOBLE A N 120";"001000";"0902";"503";
"001760";"LIJA ULTRA DOBLE A N 150";"001000";"0102";"503";
"001761";"LIJA ULTRA DOBLE A N 180";"001000";"0102";"503";
"001762";"LIJA ULTRA DOBLE A N 220";"001000";"0102";"503";
"001763";"LIJA ULTRA DOBLE A N 240";"001000";"0102";"503";
"001764";"LIJA ULTRA DOBLE A N 280";"001000";"0102";"503";
"001765";"LIJA ULTRA DOBLE A N 320";"001000";"0102";"503";
"001766";"LIJA ULTRA DOBLE A N 360";"001000";"0102";"503";
"001767";"LIJA ULTRA DOBLE A N 400";"001000";"0102";"503";
"001768";"LIJA ULTRA DOBLE A N 500";"001000";"0102";"503";
"001769";"LIJA ULTRA DOBLE A N 600";"001000";"0102";"503";
"001770";"LIJA ULTRA DOBLE A N 800";"001000";"0102";"503";
"001771";"PLACA DE YESO PLACO IMPACT (1,20MX2,4MX15MM)";"001000";"0183";"503";
"001772";"PLACA DE YESO PLACO IMPACT (1,20MX2,6MX15MM)";"001000";"0183";"503";
"001773";"PLACA DE YESO HABITO (1,20MX2,4MX12,5MM)";"001000";"0183";"503";
"001774";"TORNILLOS HABITO 26MM";"001000";"0183";"503";
"001775";"3D GLASS POLISH COMPUESTO PULIDOR DE VIDRIOS 521OZ16  X 0,500";"000500";"0902";"503";
"001776";"MASILLA PARA PLACA DE YESO PLACO LPU X  7KG";"007000";"0183";"503";
"001777";"MASILLA PARA PLACA DE YESO PLACO LPU X 15KG";"020002";"0183";"503";
"001778";"MASILLA PARA PLACA DE YESO PLACO LPU X 28KG";"028000";"0183";"503";
"001779";"LATEX INTERIOR RECUPLAST MATE BLANCO X  1";"001001";"0150";"503";
"001780";"LATEX INTERIOR RECUPLAST MATE BLANCO X  4";"004000";"0150";"503";
"001781";"LATEX INTERIOR RECUPLAST MATE BLANCO X 10";"010000";"0150";"503";
"001782";"LATEX INTERIOR RECUPLAST MATE BLANCO X 20";"020000";"0150";"503";
"001783";"IMPERMEABILIZANTE PARA FRENTES Y MUROS RECUPLAST BLANCO X  1";"001001";"0150";"503";
"001784";"IMPERMEABILIZANTE PARA FRENTES Y MUROS RECUPLAST BLANCO X  4";"004000";"0150";"503";
"001785";"IMPERMEABILIZANTE PARA FRENTES Y MUROS RECUPLAST BLANCO X 10";"010000";"0150";"503";
"001786";"IMPERMEABILIZANTE PARA FRENTES Y MUROS RECUPLAST BLANCO X 20";"020000";"0150";"503";
"001787";"LATEX INTERIOR/EXTERIOR ACRILPLAST MATE BLANCO X  1";"001001";"0150";"503";
"001788";"LATEX INTERIOR/EXTERIOR ACRILPLAST MATE BLANCO X  4";"004000";"0150";"503";
"001789";"LATEX INTERIOR/EXTERIOR ACRILPLAST MATE BLANCO X 10";"010000";"0150";"503";
"001790";"LATEX INTERIOR/EXTERIOR ACRILPLAST MATE BLANCO X 20";"020000";"0150";"503";
"001791";"LATEX INTERIOR SINTEPLAST PROFESIONAL BLANCO X  1";"001001";"0150";"503";
"001792";"LATEX INTERIOR SINTEPLAST PROFESIONAL BLANCO X  4";"001001";"0150";"503";
"001793";"LATEX INTERIOR SINTEPLAST PROFESIONAL BLANCO X 10";"001001";"0150";"503";
"001794";"LATEX INTERIOR SINTEPLAST PROFESIONAL BLANCO X 20";"020000";"0150";"503";
"001795";"RECUBRIMIENTO EPOXI HB TERSUAVE INDULAC GRIS INDUSTRIAL X  2";"002002";"0153";"503";
"001796";"RECUBRIMIENTO EPOXI HB TERSUAVE INDULAC GRIS INDUSTRIAL X  8";"008001";"0153";"503";
"001797";"RECUBRIMIENTO EPOXI HB TERSUAVE INDULAC GRIS INDUSTRIAL X 40";"040000";"0153";"503";
"001798";"PROTECTOR PARA LADRILLO RECUBRICK AL SOLVENTE CERAMICO X  1";"001001";"0150";"503";
"001799";"PROTECTOR PARA LADRILLO RECUBRICK AL SOLVENTE CERAMICO X  4";"004000";"0150";"503";
"001800";"ES LATEX INT BCO X 4";"004000";"0152";"503";
"001801";"ES LATEX INT BCO X 10";"010000";"0152";"503";
"001802";"ES LATEX INT BCO X 20";"020000";"0152";"503";
"001803";"ES LATEX EXT BCO X 4";"004000";"0152";"503";
"001804";"ES LATEX EXT BCO X 10";"010000";"0152";"503";
"001805";"ES LATEX EXT BCO X 20";"020000";"0152";"503";
"001806";"LATEX INTERIOR/EXTERIOR TERSINOL BLANCO X  4";"004000";"0152";"503";
"001807";"LATEX INTERIOR/EXTERIOR TERSINOL BLANCO X 10";"010000";"0152";"503";
"001808";"LATEX INTERIOR/EXTERIOR TERSINOL BLANCO X 20";"020000";"0152";"503";
"001809";"LATEX INTERIOR/EXTERIOR TERSEN MATE BLANCO X  1";"001001";"0152";"503";
"001810";"LATEX INTERIOR/EXTERIOR TERSEN MATE BLANCO X  4";"004000";"0152";"503";
"001811";"LATEX INTERIOR/EXTERIOR TERSEN MATE BLANCO X 10";"010000";"0152";"503";
"001812";"LATEX INTERIOR/EXTERIOR TERSEN MATE BLANCO X 20";"020000";"0152";"503";
"001813";"PINTURA EN POLVO TERSUAVE CREMA X 4";"004001";"0152";"503";
"001814";"PINTURA EN POLVO TERSUAVE VERDE X 4";"004001";"0152";"503";
"001815";"PINTURA EN POLVO TERSUAVE GRIS CLARO X 4";"004001";"0152";"503";
"001816";"PINTURA EN POLVO TERSUAVE ROSA X 4";"004001";"0152";"503";
"001817";"PINTURA EN POLVO TERSUAVE CELESTE X 4";"004001";"0152";"503";
"001818";"PINTURA EN POLVO TERSUAVE DURAZNO X 4";"004001";"0152";"503";
"001819";"PINTURA EN POLVO TERSUAVE GRIS OSCURO X 4";"004001";"0152";"503";
"001820";"PINTURA EN POLVO TERSUAVE AZUL X 4";"004001";"0152";"503";
"001821";"PINTURA EN POLVO TERSUAVE VERDE MAR X 4";"004001";"0152";"503";
"001822";"PINTURA EN POLVO TERSUAVE TABACO X 4";"004001";"0152";"503";
"001823";"PINTURA EN POLVO TERSUAVE AZUL COBALTO X 4";"004001";"0152";"503";
"001824";"PINTURA EN POLVO TERSUAVE VERDE CACTUS X 4";"004001";"0152";"503";
"001825";"PINTURA EN POLVO TERSUAVE AMARILLO X 4";"004001";"0152";"503";
"001826";"PINTURA EN POLVO TERSUAVE LILA X 4";"004001";"0152";"503";
"001827";"PINTURA EN POLVO TERSUAVE CORAL X 4";"004001";"0152";"503";
"001828";"PLACA DE YESO PLACO STD  (1,20MX2,4MX9,5MM)";"001000";"0183";"503";
"001829";"PLACA DE YESO PLACO STD (1,20MX2,4MX12,5MM)";"001000";"0183";"503";
"001830";"PROTECTOR PARA LADRILLO TERSIDRYL AL AGUA SEMI MATE CON PELICULA X  1";"001001";"0152";"503";
"001831";"PROTECTOR PARA LADRILLO TERSIDRYL AL AGUA SEMI MATE CON PELICULA X  4";"004000";"0152";"503";
"001832";"PROTECTOR PARA LADRILLO TERSIDRYL AL AGUA SEMI MATE CON PELICULA X 10";"010000";"0152";"503";
"001833";"PROTECTOR PARA LADRILLO TERSIDRYL AL AGUA SEMI MATE CON PELICULA X 20";"020000";"0152";"503";
"001834";"LATEX INTERIOR TERSUAVE LAVABLE SATINADO BLANCO X  1";"001001";"0152";"503";
"001835";"LATEX INTERIOR TERSUAVE LAVABLE SATINADO BLANCO X  4";"004000";"0152";"503";
"001836";"LATEX INTERIOR TERSUAVE LAVABLE SATINADO BLANCO X 10";"010000";"0152";"503";
"001837";"LATEX INTERIOR TERSUAVE LAVABLE SATINADO BLANCO X 20";"020000";"0152";"503";
"001838";"FIJADOR PARA PARED TERSUAVE AL AGUARRAS X  1";"001001";"0152";"503";
"001839";"FIJADOR PARA PARED TERSUAVE AL AGUARRAS X  4";"004000";"0152";"503";
"001840";"FIJADOR PARA PARED TERSUAVE AL AGUARRAS X 20";"020000";"0152";"503";
"001841";"LATEX INTERIOR TERSUAVE PROFESIONAL BLANCO X  1";"001001";"0152";"503";
"001842";"LATEX INTERIOR TERSUAVE PROFESIONAL BLANCO X  4";"004000";"0152";"503";
"001843";"LATEX INTERIOR TERSUAVE PROFESIONAL BLANCO X 10";"010000";"0152";"503";
"001844";"LATEX INTERIOR TERSUAVE PROFESIONAL BLANCO X 20";"020000";"0152";"503";
"001845";"FONDO PARA GALVANIZADO TERSUAVE GALVANIC GRIS X 1";"001001";"0153";"503";
"001846";"FONDO PARA GALVANIZADO TERSUAVE GALVANIC GRIS X 4";"004000";"0153";"503";
"001847";"ESMALTE EPOXI TERSUAVE INDULAC BITUMINOSO X  1";"001001";"0153";"503";
"001848";"ESMALTE EPOXI TERSUAVE INDULAC BITUMINOSO X  4";"004000";"0153";"503";
"001849";"ESMALTE EPOXI TERSUAVE INDULAC BITUMINOSO X 20";"020000";"0153";"503";
"001850";"IMPERMEABILIZANTE PARA FRENTES TERSINOL BLANCO X  1,25";"001250";"0152";"503";
"001851";"IMPERMEABILIZANTE PARA FRENTES TERSINOL BLANCO X  5";"005001";"0152";"503";
"001852";"IMPERMEABILIZANTE PARA FRENTES TERSINOL BLANCO X 12,50";"012500";"0152";"503";
"001853";"IMPERMEABILIZANTE PARA FRENTES TERSINOL BLANCO X 25";"025002";"0152";"503";
"001854";"PRESERVADOR MADERAS TERSUAVE LISTO PARA USAR X  1";"001001";"0152";"503";
"001855";"PRESERVADOR MADERAS TERSUAVE LISTO PARA USAR X  4";"004000";"0152";"503";
"001856";"PRESERVADOR MADERAS TERSUAVE LISTO PARA USAR X 20";"020000";"0152";"503";
"001857";"ESM. TERS. CAUCHO VERDE INGLES X  4";"004000";"0152";"503";
"001858";"ESM. TERS. CAUCHO VERDE INGLES X 20";"020000";"0152";"503";
"001859";"IMPRIMACION AL AGUA CEMENTICIOS RECUPLAST X  1";"001001";"0150";"503";
"001860";"IMPRIMACION AL AGUA CEMENTICIOS RECUPLAST X  5";"005000";"0150";"503";
"001861";"IMPRIMACION AL AGUA CEMENTICIOS RECUPLAST X 20";"020000";"0150";"503";
"001862";"PLACA DE YESO PLACO STD (1,20MX2,6MX12,5MM)";"001000";"0183";"503";
"001863";"PLACA DE YESO PLACO STD (1,20MX2,8MX12,5MM)";"001000";"0183";"503";
"001864";"PLACA DE YESO PLACO STD (1,20MX3,0MX12,5MM)";"001000";"0183";"503";
"001865";"PLACA DE YESO PLACO STD  (1,20MX2,4MX15MM)";"001000";"0183";"503";
"001866";"PLACA DE YESO PLACO STD (1,20MX2,6MX15MM)";"001000";"0183";"503";
"001867";"REVESTIMIENTO PARA PISO RECUPLAST MICROCEMENTO GRIS CLARO X 20";"020001";"0150";"503";
"001868";"REVESTIMIENTO PARA PISO RECUPLAST MICROCEMENTO BLANCO X 20";"020001";"0150";"503";
"001869";"LATEX INTERIOR ALBA CONSTRUCTOR MATE BLANCO X  1";"001001";"0107";"503";
"001870";"LATEX INTERIOR ALBA CONSTRUCTOR MATE BLANCO X  4";"004000";"0107";"503";
"001871";"LATEX INTERIOR ALBA CONSTRUCTOR MATE BLANCO X 10";"010000";"0107";"503";
"001872";"LATEX INTERIOR ALBA CONSTRUCTOR MATE BLANCO X 20";"020000";"0107";"503";
"001873";"PLACA DE YESO PLACO RF (1,20MX2,4MX12,5MM)";"001000";"0183";"503";
"001874";"PLACA DE YESO PLACO RF (1,20MX2,6MX12,5MM)";"001000";"0183";"503";
"001875";"PETRISIL P/LADRILLOS, TEJAS Y MAT.FTES X  4";"004000";"0138";"503";
"001876";"PLACA DE YESO PLACO RF (1,20MX2,4MX15MM)";"001000";"0183";"503";
"001877";"PLACA DE YESO PLACO RF (1,20MX2,6MX15MM)";"001000";"0183";"503";
"001878";"PETRISIL P/LADRILLOS, TEJAS Y MAT.FTES X 20";"020000";"0138";"503";
"001879";"REVESTIMIENTO INTERNO PARA CHAPAS PLAVICON ANTICONDENSANTE X  4";"004000";"0139";"503";
"001880";"REVESTIMIENTO INTERNO PARA CHAPAS PLAVICON ANTICONDENSANTE X 20";"020000";"0139";"503";
"001881";"LIJA ROJA OXIDO ALUMINIO RAPIFIX # 100";"001000";"0181";"503";
"001882";"LIJA ROJA OXIDO ALUMINIO RAPIFIX #  60";"001000";"0181";"503";
