"Codigo";"Descripcion";"Capacidad";"Grupo";"TS Estandar";
"000067";"PROTECTOR PARA MADERA CETOL BELLEZA NATURAL MATE INCOLORO X 1";"001001";"0105";"503";
"000068";"PROTECTOR PARA MADERA CETOL BELLEZA NATURAL MATE INCOLORO X 4";"004000";"0105";"503";
"000069";"KIT ESPATULAS PLASTICAS LH X3";"001000";"0902";"503";
"000070";"ATLANTICO D.FILTRO SOLAR X 0,500";"000500";"0116";"503";
"000071";"CUCHARA WELBY N 7 (CU02)";"001000";"0176";"503";
"000072";"ESMALTE SINTETICO TERSUAVE 2EN1 MATE NEGRO X 20";"020000";"0152";"503";
"000073";"D8501 PRIMER 2K DP4000 BLANCO AUTONIVELANTE (G1) X 1";"001001";"0134";"503";
"000074";"D8507 PRIMER 2K DP4000 GRIS  AUTONIVELANTE (G7) X 1";"001001";"0134";"503";
"000075";"D8238 CATALIZADOR P/ D8115 / D8117 / D8501/D8507 (DP4000) X 0,500 ""DISCONTINUADO""";"000500";"0902";"503";
"000076";"LACA PARA PISO FORESTA HIDRO PARQUET BRILLANTE X 1";"001001";"0150";"503";
"000077";"LACA PARA PISO FORESTA HIDRO PARQUET BRILLANTE X 4";"004000";"0150";"503";
"000078";"LATEX PARA CIELORRASOS COLORIN MATE BLANCO X 10";"010000";"0116";"503";
"000079";"COMPL.ACRIL.COLORIN G1 X 0,125";"000130";"0117";"503";
"000080";"FIJADOR PARA PARED COLORIN AL AGUA X  1";"001001";"0116";"503";
"000081";"FIJADOR PARA PARED COLORIN AL AGUA X  4";"004000";"0116";"503";
"000082";"ENDUIDO INTERIOR COLORIN SUPER LIVIANO X 20";"020000";"0116";"503";
"000083";"PROTECTOR SUBCARROCERIA MMB ACUOSA NEGRO X 1";"001001";"0137";"503";
"000084";"PROTECTOR SUBCARROCERIA MMB ACUOSA BLANCO X 1";"001001";"0137";"503";
"000085";"MAGIPLAST ANTI-HONGO X 0,200";"000200";"0129";"503";
"000086";"PASTA PULIR MMB FINA X 0,500";"000500";"0137";"503";
"000087";"AUTOPOLISH COLORIN CLASICO X 0,450";"000450";"0166";"503";
"000088";"REMOVEDOR GEL PETRILAC X 1";"001001";"0902";"503";
"000089";"ESMALTE SINTETICO TERSUAVE 2EN1 MATE NEGRO X  0,250";"000250";"0152";"503";
"000090";"TEXTURANTE MARTILLADO X 0,002";"000041";"0116";"503";
"000091";"FIJADOR PARA PARED COLORIN AL AGUA X 10";"010000";"0116";"503";
"000092";"LACA PARA PISO FORESTA HIDRO PARQUET SATINADA X 1";"001001";"0150";"503";
"000093";"LACA PARA PISO FORESTA HIDRO PARQUET SATINADA X 4";"004000";"0150";"503";
"000094";"COMPL.ACRIL.COLORIN G2 X 0,125";"000130";"0117";"503";
"000095";"COMPL.ACRIL.COLORIN G3 X 0,125";"000130";"0117";"503";
"000096";"REVIVIDOR PARA MADERA CETOL RELUCE ULTRA X 0,500";"000500";"0105";"503";
"000097";"FIJADOR PARA PARED ALBA AL AGUARRAS X 20";"020000";"0107";"503";
"000098";"PROTECTOR SUBCARROCERIAS ACUOSA TERSUAVE NEGRO X 1";"001001";"0902";"503";
